year,organism,paper_count,share_pct
1990,arabidopsis,78,0.4125674389082831
1990,rice,664,3.512112556860256
1990,wheat,800,4.231460911879827
1990,maize,806,4.263196868718925
1990,soybean,520,2.7504495927218873
1990,tomato,316,1.6714270601925314
1990,barley,254,1.343488839521845
1990,cotton,184,0.9732360097323601
1990,potato,232,1.2271236644451498
1990,tobacco,346,1.8301068443880248
1990,other_crop,2224,11.763461335025918
1990,other_model_organism,109,0.5765365492436263
1990,non_specific,12373,65.44483232836137
1991,arabidopsis,133,0.7362302795460836
1991,rice,596,3.2991973429283146
1991,wheat,744,4.1184611126487685
1991,maize,834,4.61666205369499
1991,soybean,493,2.7290340437309717
1991,tomato,327,1.8101300858012732
1991,barley,248,1.3728203708829227
1991,cotton,164,0.9078328259064489
1991,potato,220,1.2178245225574316
1991,tobacco,402,2.225297536673125
1991,other_crop,2048,11.336839191807362
1991,other_model_organism,117,0.6476612233600886
1991,non_specific,11739,64.98200941046221
1992,arabidopsis,171,0.8964143426294822
1992,rice,599,3.1400712937722792
1992,wheat,799,4.1885091214091
1992,maize,799,4.1885091214091
1992,soybean,431,2.2593835185573496
1992,tomato,350,1.8347661983644368
1992,barley,280,1.4678129586915496
1992,cotton,224,1.1742503669532396
1992,potato,221,1.1585237995386874
1992,tobacco,376,1.9710631159572236
1992,other_crop,2132,11.176347242608513
1992,other_model_organism,134,0.7024533445166702
1992,non_specific,12560,65.84189557559237
1993,arabidopsis,189,0.9863271057300909
1993,rice,619,3.2303517378144244
1993,wheat,792,4.133180252583238
1993,maize,760,3.966183070660682
1993,soybean,413,2.155307379187976
1993,tomato,351,1.8317503392130257
1993,barley,259,1.35163344118568
1993,cotton,184,0.9602337960546915
1993,potato,245,1.2785721740945621
1993,tobacco,384,2.003966183070661
1993,other_crop,2165,11.298403089447866
1993,other_model_organism,128,0.6679887276902202
1993,non_specific,12673,66.13610270326689
1994,arabidopsis,236,1.156976174134719
1994,rice,685,3.3581723698401804
1994,wheat,832,4.078831257966467
1994,maize,824,4.039611726639867
1994,soybean,450,2.2060986371212863
1994,tomato,391,1.9168545935876067
1994,barley,244,1.19619570546132
1994,cotton,174,0.8530248063535641
1994,potato,256,1.2550250024512206
1994,tobacco,452,2.2159035199529367
1994,other_crop,2329,11.417786057456613
1994,other_model_organism,168,0.8236101578586137
1994,non_specific,13357,65.4819099911756
1995,arabidopsis,288,1.3676512489315225
1995,rice,626,2.972741950802545
1995,wheat,908,4.311900465381328
1995,maize,870,4.131446481147307
1995,soybean,470,2.231930857631304
1995,tomato,386,1.8330325766929434
1995,barley,276,1.3106657802260424
1995,cotton,196,0.9307626555228417
1995,potato,271,1.2869218349320923
1995,tobacco,448,2.1274574983379235
1995,other_crop,2466,11.71051381897616
1995,other_model_organism,177,0.8405356634058315
1995,non_specific,13676,64.94443916801215
1996,arabidopsis,389,1.7544650911058994
1996,rice,666,3.00378856215046
1996,wheat,862,3.8877863972578024
1996,maize,827,3.7299296409886344
1996,soybean,446,2.0115460941728305
1996,tomato,392,1.767995670214685
1996,barley,259,1.1681399963918455
1996,cotton,190,0.8569366768897709
1996,potato,265,1.1952011546094174
1996,tobacco,464,2.0927295688255456
1996,other_crop,2426,10.941728305971496
1996,other_model_organism,186,0.8388959047447232
1996,non_specific,14800,66.7508569366769
1997,arabidopsis,419,1.8967858759619736
