year,organism,fundamental_count,applied_count,applied_share
2000,other_model_organism,121,257,0.6798941798941799
2000,potato,52,312,0.8571428571428571
2000,rice,278,1004,0.7831513260530422
2000,soybean,203,486,0.7053701015965167
2000,tobacco,97,461,0.8261648745519713
2000,tomato,110,514,0.8237179487179487
2000,wheat,387,1062,0.7329192546583851
2001,arabidopsis,77,838,0.9158469945355191
2001,barley,85,223,0.724025974025974
2001,cotton,134,332,0.7124463519313304
2001,maize,369,1030,0.7362401715511079
2001,non_specific,5030,17821,0.7798783423044944
2001,other_crop,1056,3081,0.7447425670775925
2001,other_model_organism,127,261,0.6726804123711341
2001,potato,72,340,0.8252427184466019
2001,rice,361,1309,0.7838323353293413
2001,soybean,227,552,0.7086007702182285
2001,tobacco,109,462,0.809106830122592
2001,tomato,95,464,0.8300536672629696
2001,wheat,445,1199,0.7293187347931873
2002,arabidopsis,93,1056,0.9190600522193212
2002,barley,104,240,0.6976744186046512
2002,cotton,87,346,0.7990762124711316
2002,maize,386,1079,0.736518771331058
2002,non_specific,5245,19006,0.7837202589583935
2002,other_crop,1033,3227,0.7575117370892018
2002,other_model_organism,119,242,0.6703601108033241
2002,potato,78,376,0.8281938325991189
2002,rice,342,1307,0.7926015767131595
2002,soybean,241,508,0.678237650200267
2002,tobacco,82,403,0.8309278350515464
2002,tomato,129,567,0.8146551724137931
2002,wheat,437,1195,0.7322303921568627
2003,arabidopsis,88,1117,0.9269709543568465
2003,barley,103,279,0.7303664921465969
2003,cotton,142,368,0.7215686274509804
2003,maize,381,1228,0.7632069608452455
2003,non_specific,5636,21594,0.7930224017627616
2003,other_crop,1057,3526,0.7693650447305258
2003,other_model_organism,156,297,0.6556291390728477
2003,potato,72,394,0.8454935622317596
2003,rice,413,1346,0.7652075042637863
2003,soybean,260,538,0.6741854636591479
2003,tobacco,78,392,0.8340425531914893
2003,tomato,151,632,0.8071519795657727
2003,wheat,492,1257,0.7186963979416809
2004,arabidopsis,91,1344,0.9365853658536586
2004,barley,102,309,0.7518248175182481
2004,cotton,152,537,0.7793904208998549
2004,maize,458,1225,0.7278669043374926
2004,non_specific,6458,25283,0.7965407517091458
2004,other_crop,1186,3935,0.7684046084749072
2004,other_model_organism,160,337,0.6780684104627767
2004,potato,88,395,0.8178053830227743
2004,rice,415,1525,0.7860824742268041
2004,soybean,251,660,0.7244785949506037
2004,tobacco,103,412,0.8
2004,tomato,131,709,0.844047619047619
2004,wheat,504,1416,0.7375
2005,arabidopsis,88,1431,0.9420671494404214
