organism,macro_theme_id,macro_theme_name,count,enrichment_log2
cotton,12,"rocks, shale, sandstone, limestone, fault",4,-1.4616161512496322
cotton,17,"references, mm long, introduction, glumes, results discussion",1,-1.7229502680935866
cotton,25,"national academy, academy sciences, academy, sciences, biological physical",1,-1.8807261868697827
cotton,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",119,-1.9085729656552282
cotton,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",79,-2.10007633864307
cotton,29,"kan, om, van, op, te",10,-2.774092502735787
cotton,2,"inra, document, du, diffusion, centre",1,-4.0
cotton,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
cotton,9,"cy, qu, thc, cao, cho",0,-4.0
cotton,11,"mm long, mm, glabrous, long, hairs",0,-4.0
cotton,13,"greater equal, equal, geometry, 1980, false",0,-4.0
cotton,15,"hosting, web, provider, domain, free",0,-4.0
cotton,18,"oder, mit, oft, bis, und",0,-4.0
cotton,23,"kim, lee, choi, korean, sci",0,-4.0
maize,25,"national academy, academy sciences, academy, sciences, biological physical",34,1.2273743301331153
maize,7,"sup, image, sub, tn, cosub2sub",38,0.6551498734071501
maize,1,"chromosome, chromosomes, rna, karyotype, 2n",2020,0.581613963803584
maize,17,"references, mm long, introduction, glumes, results discussion",18,0.46761240910128443
maize,27,"information given, abstract new, distribution map, geographical distribution, america",59,0.3739480291293821
maize,28,"ofthe, inthe, ina, synthesis, ethylene",21,0.24050574701169472
maize,0,"dan, yang, rats, dengan, patients",34861,0.1897724131847017
maize,21,"theory, century, expedition, church, religious",311,0.01693605666444192
maize,23,"kim, lee, choi, korean, sci",5,-0.21470646711153907
maize,22,"mr, miles, county, specimens, writer",30,-0.5083707097801802
maize,6,"oxford, academic, google scholar, scholar, published 01",492,-0.6922635704567995
maize,14,"x0d, 100, fertilizers, russian, russia",377,-0.7105203814552722
maize,24,"11, br, 12, mmoll, 13",391,-1.2787799334475527
maize,3,"pp, vol, bulletin, du, journal",140,-1.2874047094353802
maize,2,"inra, document, du, diffusion, centre",36,-1.3465316786189587
maize,10,"new species, described illustrated, illustrated, genus, sp nov",119,-1.4659757981106631
maize,16,"13n, ee, taxa, dna dna, dahliae",7,-1.867476933861317
maize,29,"kan, om, van, op, te",44,-2.6159513032332935
maize,15,"hosting, web, provider, domain, free",5,-2.6982237042731496
maize,26,"ex, amp, dc, kunth, willd",6,-2.7568443883035005
maize,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",186,-2.844060599959583
maize,19,"surgery, sign, forum, archives, neck",1,-2.916906643117069
maize,12,"rocks, shale, sandstone, limestone, fault",4,-3.440978475497073
maize,9,"cy, qu, thc, cao, cho",2,-3.452150404221717
maize,5,"international rice, rice research, scientists, publication, rice based",6,-4.0
maize,8,"university arizona, libraries, project, committee, documentation",0,-4.0
maize,11,"mm long, mm, glabrous, long, hairs",1,-4.0
maize,13,"greater equal, equal, geometry, 1980, false",0,-4.0
maize,18,"oder, mit, oft, bis, und",0,-4.0
maize,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",1,-4.0
non_specific,18,"oder, mit, oft, bis, und",109,0.4537356703138846
non_specific,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",57056,0.4454657425060952
non_specific,13,"greater equal, equal, geometry, 1980, false",248,0.44214769603867254
non_specific,29,"kan, om, van, op, te",8537,0.41225835015484774
non_specific,12,"rocks, shale, sandstone, limestone, fault",1373,0.4102652427417405
non_specific,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",41265,0.3775394169488277
non_specific,19,"surgery, sign, forum, archives, neck",232,0.36920216010221657
non_specific,8,"university arizona, libraries, project, committee, documentation",626,0.36437615017524067
non_specific,11,"mm long, mm, glabrous, long, hairs",617,0.3609185757280609
non_specific,9,"cy, qu, thc, cao, cho",641,0.3001579504887374
non_specific,3,"pp, vol, bulletin, du, journal",9809,0.2713304316071885
non_specific,10,"new species, described illustrated, illustrated, genus, sp nov",9159,0.2283086216010429
non_specific,2,"inra, document, du, diffusion, centre",2530,0.21659279761211458
non_specific,6,"oxford, academic, google scholar, scholar, published 01",21252,0.16866072976874433
non_specific,21,"theory, century, expedition, church, religious",8178,0.16182544215191835
non_specific,22,"mr, miles, county, specimens, writer",1110,0.12921046394048297
non_specific,16,"13n, ee, taxa, dna dna, dahliae",646,0.08868630686671725
non_specific,25,"national academy, academy sciences, academy, sciences, biological physical",367,0.08767554981770202
