bridge_id,peer_id,peer_class,bridge_cpp,peer_cpp
A5100432230,A5026975632,A-only,22.717391304347824,15.666666666666666
A5100432230,A5101952992,A-only,22.717391304347824,36.97674418604651
A5100432230,A5044543281,A-only,22.717391304347824,30.705128205128204
A5100432230,A5046360663,C-only,22.717391304347824,31.15909090909091
A5100432230,A5050534450,C-only,22.717391304347824,40.4
A5100432230,A5100462633,C-only,22.717391304347824,34.81481481481482
A5048364707,A5100749954,A-only,40.833333333333336,39.892857142857146
A5048364707,A5087891680,A-only,40.833333333333336,56.76923076923077
A5048364707,A5075756604,A-only,40.833333333333336,47.03225806451613
A5048364707,A5032994486,C-only,40.833333333333336,116.55172413793103
A5048364707,A5059291245,C-only,40.833333333333336,14.78688524590164
A5048364707,A5103490782,C-only,40.833333333333336,68.08
A5009604211,A5062981381,A-only,62.351791530944624,33.62732919254658
A5009604211,A5089860371,A-only,62.351791530944624,23.426751592356688
A5009604211,A5100719082,A-only,62.351791530944624,49.89138576779026
A5009604211,A5037946457,C-only,62.351791530944624,59.69021739130435
A5009604211,A5046044295,C-only,62.351791530944624,22.079545454545453
A5009604211,A5045260243,C-only,62.351791530944624,57.91975308641975
A5039476326,A5079015192,A-only,46.8,126.0
A5039476326,A5069989489,A-only,46.8,107.16666666666667
A5039476326,A5100370753,A-only,46.8,64.4186046511628
A5039476326,A5028712679,C-only,46.8,4.9655172413793105
A5039476326,A5005666242,C-only,46.8,0.6896551724137931
A5039476326,A5100637162,C-only,46.8,50.09090909090909
A5091455657,A5100362418,A-only,49.142857142857146,39.875
A5091455657,A5014842247,A-only,49.142857142857146,34.03333333333333
A5091455657,A5100405029,A-only,49.142857142857146,35.65714285714286
A5091455657,A5054387283,C-only,49.142857142857146,18.095238095238095
A5091455657,A5029386889,C-only,49.142857142857146,25.9
A5091455657,A5101748377,C-only,49.142857142857146,31.523809523809526
A5100325552,A5036692441,A-only,25.419354838709676,34.83870967741935
A5100325552,A5040237497,A-only,25.419354838709676,36.142857142857146
A5100325552,A5005291817,A-only,25.419354838709676,7.833333333333333
A5100325552,A5022979261,C-only,25.419354838709676,36.891304347826086
A5100325552,A5100530785,C-only,25.419354838709676,20.3125
A5100325552,A5063967159,C-only,25.419354838709676,11.846153846153847
A5040956614,A5025987867,A-only,72.78787878787878,42.76923076923077
A5040956614,A5083439876,A-only,72.78787878787878,83.98765432098766
A5040956614,A5008006716,A-only,72.78787878787878,121.92771084337349
A5040956614,A5081821608,C-only,72.78787878787878,36.183098591549296
A5040956614,A5071251996,C-only,72.78787878787878,77.94117647058823
A5040956614,A5101830467,C-only,72.78787878787878,12.912280701754385
A5046255668,A5038386223,A-only,29.869565217391305,94.88636363636364
A5046255668,A5029983579,A-only,29.869565217391305,91.74626865671642
A5046255668,A5110655062,A-only,29.869565217391305,50.32432432432432
A5046255668,A5018212665,C-only,29.869565217391305,24.157894736842106
A5046255668,A5006585254,C-only,29.869565217391305,126.0
A5046255668,A5036885705,C-only,29.869565217391305,12.98360655737705
A5100458894,A5055654386,A-only,25.053571428571427,22.48936170212766
A5100458894,A5081122190,A-only,25.053571428571427,7.9868421052631575
A5100458894,A5005349226,A-only,25.053571428571427,13.705882352941176
A5100458894,A5036771762,C-only,25.053571428571427,28.21794871794872
A5100458894,A5030107052,C-only,25.053571428571427,42.92857142857143
A5100458894,A5052937975,C-only,25.053571428571427,17.743589743589745
A5108838656,A5075448396,A-only,55.367924528301884,20.341176470588234
A5108838656,A5013092649,A-only,55.367924528301884,56.943661971830984
A5108838656,A5068912096,A-only,55.367924528301884,60.64705882352941
A5108838656,A5100372122,C-only,55.367924528301884,30.68235294117647
A5108838656,A5108440840,C-only,55.367924528301884,24.14814814814815
A5108838656,A5047469171,C-only,55.367924528301884,16.463917525773194
A5100405871,A5113985849,A-only,49.9875,61.86842105263158
A5100405871,A5068670497,A-only,49.9875,122.66055045871559
A5100405871,A5100740624,A-only,49.9875,45.983050847457626
A5100405871,A5102214119,C-only,49.9875,47.08860759493671
A5100405871,A5100405301,C-only,49.9875,29.73015873015873
A5100405871,A5057587458,C-only,49.9875,26.0
A5021054553,A5034665973,A-only,63.27272727272727,72.02666666666667
A5021054553,A5109970563,A-only,63.27272727272727,33.84848484848485
A5021054553,A5113713949,A-only,63.27272727272727,24.63095238095238
A5021054553,A5102478021,C-only,63.27272727272727,16.607142857142858
A5021054553,A5076186269,C-only,63.27272727272727,15.692307692307692
A5021054553,A5110330406,C-only,63.27272727272727,20.514285714285716
A5100439418,A5101509013,A-only,42.142857142857146,65.29166666666667
A5100439418,A5006138786,A-only,42.142857142857146,23.25
A5100439418,A5012191010,A-only,42.142857142857146,63.10344827586207
A5100439418,A5010405974,C-only,42.142857142857146,9.0
A5100439418,A5101515522,C-only,42.142857142857146,45.85
A5100439418,A5104384007,C-only,42.142857142857146,0.625
A5100388811,A5101685030,A-only,28.35185185185185,25.54054054054054
A5100388811,A5017377157,A-only,28.35185185185185,20.767441860465116
A5100388811,A5100321304,A-only,28.35185185185185,40.333333333333336
A5100388811,A5101491990,C-only,28.35185185185185,13.25
A5100388811,A5069885643,C-only,28.35185185185185,17.02857142857143
A5100388811,A5102847986,C-only,28.35185185185185,34.515151515151516
