year,organism,applied_share,ci_lower,ci_upper
1990,arabidopsis,0.8974358974358975,0.8205128205128205,0.9615384615384616
1990,barley,0.7007874015748031,0.6417322834645669,0.7559055118110236
1990,cotton,0.6793478260869565,0.6141304347826086,0.7391304347826086
1990,maize,0.7084367245657568,0.6761786600496278,0.739454094292804
1990,non_specific,0.749616099571648,0.7420997332902287,0.7576214337670735
1990,other_crop,0.7108812949640287,0.6910971223021583,0.7306654676258992
1990,other_model_organism,0.6972477064220184,0.6055045871559633,0.7798165137614679
1990,potato,0.8060344827586207,0.7543103448275862,0.853448275862069
1990,rice,0.8253012048192772,0.7951807228915663,0.8539156626506024
1990,soybean,0.6384615384615384,0.5961538461538461,0.6788461538461539
1990,tobacco,0.8121387283236994,0.7687861271676301,0.8526011560693642
1990,tomato,0.7626582278481012,0.715110759493671,0.8069620253164557
1990,wheat,0.7125,0.68125,0.74375
1991,arabidopsis,0.8646616541353384,0.8045112781954887,0.9172932330827067
1991,barley,0.6975806451612904,0.6411290322580645,0.7540322580645161
1991,cotton,0.7560975609756098,0.6890243902439024,0.8170731707317073
1991,maize,0.7350119904076738,0.7062350119904077,0.762589928057554
1991,non_specific,0.7539824516568703,0.7462305136723741,0.7614788312462731
1991,other_crop,0.73388671875,0.71533203125,0.75390625
1991,other_model_organism,0.6666666666666666,0.5726495726495726,0.7521367521367521
1991,potato,0.7954545454545454,0.7454545454545455,0.8454545454545455
1991,rice,0.802013422818792,0.7684563758389261,0.8322147651006712
1991,soybean,0.6389452332657201,0.5943204868154158,0.6815415821501014
1991,tobacco,0.7611940298507462,0.7213930348258707,0.8035447761194029
1991,tomato,0.7584097859327217,0.709480122324159,0.8012996941896023
1991,wheat,0.7580645161290323,0.7298387096774194,0.7862903225806451
1992,arabidopsis,0.9005847953216374,0.8538011695906432,0.9473684210526315
1992,barley,0.7321428571428571,0.6785714285714286,0.7857142857142857
1992,cotton,0.7053571428571429,0.6428571428571429,0.7633928571428571
1992,maize,0.7083854818523154,0.678316645807259,0.7409261576971214
