year,organism,share_pct,ci_lower,ci_upper,n_bootstrap
1990,arabidopsis,0.4125674389082831,0.32251666137734053,0.5077753094255791,1000
1990,barley,1.343488839521845,1.174230403046652,1.5021686237173384,1000
1990,cotton,0.97323600973236,0.8408706230826194,1.1108907225219506,1000
1990,maize,4.263196868718925,3.972151697873691,4.543795620437956,1000
1990,non_specific,65.44483232836137,64.76766634930709,66.15360203110123,1000
1990,other_crop,11.763461335025918,11.29786840156564,12.234211361472548,1000
1990,other_model_organism,0.5765365492436263,0.4759071194329842,0.682323072040622,1000
1990,potato,1.2271236644451498,1.073733206389506,1.3858034486406432,1000
1990,rice,3.512112556860256,3.2529355760076166,3.7712895377128954,1000
1990,soybean,2.7504495927218877,2.5124299164286468,2.9938908283084738,1000
1990,tobacco,1.8301068443880248,1.6449804294932826,2.0258119115624673,1000
1990,tomato,1.6714270601925314,1.4863006452977892,1.8513963821009203,1000
1990,wheat,4.231460911879827,3.9455728340209455,4.538241827991114,1000
1991,arabidopsis,0.7362302795460836,0.6143094381400498,0.8635482978134514,1000
1991,barley,1.3728203708829227,1.2121505673955162,1.533351785220039,1000
1991,cotton,0.9078328259064488,0.7749792416274565,1.0406864101854414,1000
1991,maize,4.61666205369499,4.317603099916967,4.915582618322723,1000
1991,non_specific,64.98200941046221,64.26778300581235,65.71284251314697,1000
1991,other_crop,11.336839191807362,10.866177691668973,11.807500691945751,1000
1991,other_model_organism,0.6476612233600886,0.5314143371159702,0.7694436756158317,1000
1991,potato,1.2178245225574316,1.068364240243565,1.3783559368945475,1000
1991,rice,3.2991973429283146,3.027954608358705,3.5704400774979246,1000
1991,soybean,2.729034043730972,2.4797951840575703,2.9838084694159974,1000
1991,tobacco,2.225297536673125,2.0149460282313867,2.446720177138112,1000
1991,tomato,1.8101300858012728,1.6274564074176583,1.992803764184888,1000
1991,wheat,4.1184611126487685,3.8306116800442847,4.384168281206753,1000
1992,arabidopsis,0.8964143426294822,0.7652285594464248,1.037953449360453,1000
1992,barley,1.4678129586915496,1.3053050954078425,1.6409362549800797,1000
1992,cotton,1.1742503669532396,1.0327112602222688,1.331516041098763,1000
1992,maize,4.1885091214091,3.9157842314950724,4.45586076745649,1000
1992,non_specific,65.84189557559237,65.12371566366114,66.48668483958902,1000
