organism,decade,n_marriages,marriages_per_1000_papers
non_specific,1960s,213,0.27282658160297624
non_specific,1970s,117,0.27282658160297624
non_specific,1980s,78,0.27282658160297624
non_specific,1990s,58,0.27282658160297624
non_specific,2000s,23,0.27282658160297624
non_specific,2010s,9,0.27282658160297624
non_specific,2020s,2,0.27282658160297624
