work_id,organism,beauty_score,sleep_years,awakening_year
W1828224262,potato,0.89,18,2019.0
W2467985900,potato,0.56,12,2004.0
W2165794725,potato,0.47,22,2018.0
W2018931155,potato,0.4,22,2013.0
W2020233166,potato,0.33,3,1976.0
W2139285068,potato,0.3,9,2023.0
W2138823533,potato,0.27,12,2022.0
W1975834482,rice,4.83,16,2020.0
W3214576094,rice,4.44,12,2009.0
W2117877692,rice,4.03,10,2020.0
W1999804709,rice,3.19,8,2022.0
W2239590010,rice,3.0,6,2021.0
W2004198666,rice,2.95,13,2020.0
W1964364979,rice,2.91,11,2020.0
W40680564,rice,2.45,10,2020.0
W2023666100,rice,2.45,10,2020.0
W106640880,rice,2.29,7,2021.0
W1981936542,rice,2.24,23,2010.0
W2157891725,rice,2.22,6,2012.0
W2902691830,rice,2.22,12,2024.0
W1843530575,rice,2.02,2,2004.0
W2050461145,rice,1.96,5,2014.0
W2317651281,rice,1.95,11,2021.0
W2503092308,rice,1.89,13,2009.0
W1414268320,rice,1.8,5,2009.0
W2105184354,rice,1.78,9,2002.0
W2114062918,rice,1.78,9,2007.0
W2083963567,soybean,10.18,12,2020.0
W3020157263,soybean,7.89,27,2021.0
W1982158087,soybean,5.62,12,2017.0
W2153751540,soybean,5.29,14,2017.0
W1995225012,soybean,4.53,17,2023.0
W2180729876,soybean,2.75,2,2017.0
W1992407030,soybean,2.67,9,2007.0
W2944852571,soybean,2.58,7,1991.0
W29811365,soybean,2.58,4,1987.0
W2173484763,soybean,2.5,13,2015.0
W2945071145,soybean,2.22,3,1986.0
W2079690658,soybean,2.21,26,2016.0
W2028911116,soybean,2.18,12,2013.0
W2394848936,soybean,2.09,5,1987.0
W2023118894,soybean,2.05,25,2016.0
W2515400343,soybean,2.02,8,2007.0
W2096060350,soybean,2.02,4,2019.0
W2416133040,soybean,2.0,2,2017.0
W1999387443,soybean,1.96,10,2013.0
W2372170793,soybean,1.92,9,2003.0
W2061417613,tobacco,3.18,9,2010.0
W2102323872,tobacco,2.75,4,2004.0
W2065459396,tobacco,2.08,5,2017.0
W2260223736,tobacco,1.94,6,2021.0
W2166755683,tobacco,1.89,17,2009.0
W2151520576,tobacco,1.85,10,2001.0
W2154700575,tobacco,1.78,3,1998.0
W1968916318,tobacco,1.59,5,2019.0
W2068730569,tobacco,1.35,4,2008.0
