concept_a,concept_b,organism,year
C159467904,C26873012,non_specific,1983
C121864883,C26873012,non_specific,1984
C18547055,C34447519,non_specific,1985
C38652104,C75630572,non_specific,1985
C195094911,C56739046,non_specific,1985
C110354214,C115903868,non_specific,1985
C29694066,C66938386,non_specific,1986
C33332235,C37914503,non_specific,1987
C107053488,C201995342,non_specific,1987
C111919701,C79403827,non_specific,1988
C10138342,C121955636,non_specific,1988
C10138342,C162118730,non_specific,1989
C138921699,C47768531,non_specific,1990
C31258907,C79403827,non_specific,1992
C105639569,C138921699,non_specific,1993
C117671659,C13736549,non_specific,1993
C38652104,C73484699,non_specific,1994
C107993555,C24667770,non_specific,1996
C11171543,C542102704,non_specific,1996
C73283319,C74363100,non_specific,1996
C173608175,C31258907,non_specific,1997
C120314980,C80444323,non_specific,1998
C178550888,C73283319,non_specific,1998
C115903868,C120314980,non_specific,2000
C3079626,C37914503,non_specific,2000
C204321447,C28490314,non_specific,2003
C118524514,C173608175,non_specific,2003
C120314980,C13736549,non_specific,2007
C106159729,C73283319,non_specific,2011
C121864883,C33332235,non_specific,1981
C147789679,C46141821,non_specific,2006
C112698675,C162853370,non_specific,1960
C153294291,C91586092,non_specific,1960
C159985019,C192562407,non_specific,1960
C47768531,C50522688,non_specific,1961
C119599485,C171146098,non_specific,1973
C134306372,C28826006,non_specific,1975
C178802073,C199104240,non_specific,1972
C175605778,C526734887,non_specific,1972
C114793014,C166957645,non_specific,1960
C59822182,C86803240,non_specific,1960
C114793014,C16674752,non_specific,1962
C144024400,C36289849,non_specific,1960
C118552586,C542102704,non_specific,1960
C21880701,C548081761,non_specific,1960
C153294291,C49204034,non_specific,1960
C512399662,C74909509,non_specific,1961
C57879066,C97355855,non_specific,1961
C136229726,C199343813,non_specific,1961
C112698675,C54750564,non_specific,1962
C1276947,C87355193,non_specific,1962
C177322064,C2989005,non_specific,1962
C145236788,C175605778,non_specific,1963
C22212356,C91375879,non_specific,1963
C141071460,C61434518,non_specific,1963
C112930515,C200601418,non_specific,1963
C180747234,C188147891,non_specific,1963
C171146098,C178802073,non_specific,1964
C124952713,C52119013,non_specific,1965
C145420912,C509550671,non_specific,1965
C147176958,C22212356,non_specific,1965
C119599485,C61696701,non_specific,1965
C111472728,C118084267,non_specific,1966
C149923435,C4249254,non_specific,1966
C3116431,C50522688,non_specific,1967
C11171543,C188147891,non_specific,1968
C180747234,C70410870,non_specific,1968
C28490314,C46312422,non_specific,1968
C118552586,C187212893,non_specific,1968
C121684516,C9390403,non_specific,1969
C22212356,C76155785,non_specific,1969
C24890656,C548259974,non_specific,1970
C117671659,C21880701,non_specific,1970
C195094911,C539667460,non_specific,1970
C124101348,C154945302,non_specific,1970
C512399662,C542102704,non_specific,1971
C154945302,C80444323,non_specific,1971
C42475967,C539667460,non_specific,1972
C124101348,C204321447,non_specific,1972
C61696701,C74909509,non_specific,1972
C154945302,C204321447,non_specific,1972
C119599485,C9390403,non_specific,1973
C39549134,C50522688,non_specific,1973
C111472728,C36289849,non_specific,1974
C201995342,C42475967,non_specific,1974
C108827166,C112930515,non_specific,1974
C2522767166,C539667460,non_specific,1974
C19417346,C199539241,non_specific,1975
C126348684,C171250308,non_specific,1975
C11413529,C94375191,non_specific,1976
C119767625,C31972630,non_specific,1976
C34447519,C74363100,non_specific,1976
C105639569,C74363100,non_specific,1976
C155202549,C47768531,non_specific,1977
C136264566,C145236788,non_specific,1977
C4249254,C50522688,non_specific,1977
C107457646,C154945302,non_specific,1978
C77088390,C9390403,non_specific,1978
C121864883,C3079626,non_specific,1979
C539667460,C55587333,non_specific,1979
C121864883,C62520636,non_specific,1979
C55587333,C56739046,non_specific,1980
C146978453,C74650414,non_specific,1980
C190253527,C6303427,non_specific,1982
C100001284,C175444787,non_specific,1982
C24326235,C49040817,non_specific,1983
C119599485,C78519656,non_specific,1983
C171250308,C21951064,non_specific,1984
C184779094,C49040817,non_specific,1985
