metric,value,organism,note
mean_team_size_latest5,5.153,other_crop,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1222,other_crop,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,22816,other_model_organism,
total_papers_2020_2024,5156,other_model_organism,years 2020-2024
share_pct_latest_year,0.7395,other_model_organism,share_pct in 2024
cagr_2010s,0.048789,other_model_organism,
cagr_2020s,-0.03965,other_model_organism,
applied_share_2020s,0.778704,other_model_organism,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.00989,other_model_organism,weighted mean CD index across decades
mean_team_size_latest5,5.8786,other_model_organism,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1617,other_model_organism,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,1623906,non_specific,
total_papers_2020_2024,446019,non_specific,years 2020-2024
share_pct_latest_year,63.4387,non_specific,share_pct in 2024
cagr_2010s,0.049444,non_specific,
cagr_2020s,-0.029826,non_specific,
applied_share_2020s,0.795408,non_specific,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.106673,non_specific,weighted mean CD index across decades
mean_team_size_latest5,4.5146,non_specific,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.0975,non_specific,"mean of intl_collab_rate, 2020-2024"
total_papers_field,2466390,,sum across all organisms and years
n_macro_themes,30,,"macro themes, excluding outlier cluster -1"
n_themes_emerging_2020s,9,,count of macro-themes with that trend in 2020s
n_themes_stable_2020s,14,,count of macro-themes with that trend in 2020s
n_themes_declining_2020s,7,,count of macro-themes with that trend in 2020s
shannon_entropy_1990s_mean,1.743346,,mean Shannon entropy 1990-1999
shannon_entropy_2020s_mean,1.141822,,mean Shannon entropy 2020-2024
shannon_entropy_delta,-0.601523,,2020s mean minus 1990s mean
most_convergent_organism,tobacco,,smallest distance_to_arabidopsis in window 2020-2024
most_convergent_distance,0.016462,,distance for tobacco
most_divergent_organism,non_specific,,largest distance_to_arabidopsis in window 2020-2024
most_divergent_distance,0.047396,,distance for non_specific
chi2_paradigm_x_organism,12361.004,,"chi-square, paradigm × organism contingency, dof=9"
chi2_paradigm_x_organism_p,0.0,,p-value
chi2_paradigm_x_organism_dof,9,,degrees of freedom
kruskal_wallis_disruption_H,12.916,,"Kruskal-Wallis H, mean_cd across organisms (decade-level)"
kruskal_wallis_disruption_p,0.166442,,p-value
kruskal_wallis_disruption_n_groups,10,,number of organism groups tested
