organism,macro_theme_id,decade,count,enrichment
barley,17,1990s,0,-4.0
barley,19,1990s,0,-4.0
barley,20,1990s,1,-4.0
barley,21,1990s,0,-4.0
barley,22,1990s,0,-4.0
barley,25,1990s,0,-4.0
barley,26,1990s,0,-4.0
barley,27,1990s,0,-4.0
barley,7,2000s,1,1.0683465298231
barley,1,2000s,102,0.9894294725988785
barley,17,2000s,1,0.7019189747688779
barley,0,2000s,1181,0.0908631395351152
barley,27,2000s,5,-0.09422073032526569
barley,14,2000s,6,-0.16271075264047527
barley,6,2000s,6,-0.37359766208535605
barley,24,2000s,35,-0.5426998597052327
barley,3,2000s,4,-0.7538307319400274
barley,10,2000s,5,-0.984555371339457
barley,5,2000s,1,-1.1112028905076126
barley,21,2000s,1,-2.3363333939733795
barley,4,2000s,1,-3.781218720368474
barley,2,2000s,0,-4.0
barley,8,2000s,0,-4.0
barley,9,2000s,0,-4.0
barley,11,2000s,0,-4.0
barley,12,2000s,0,-4.0
barley,15,2000s,0,-4.0
barley,16,2000s,0,-4.0
barley,19,2000s,0,-4.0
barley,20,2000s,0,-4.0
barley,22,2000s,0,-4.0
barley,23,2000s,0,-4.0
barley,25,2000s,0,-4.0
barley,26,2000s,0,-4.0
barley,28,2000s,0,-4.0
barley,29,2000s,0,-4.0
barley,17,2010s,9,2.986997520026402
barley,5,2010s,2,2.7188921246451865
barley,14,2010s,111,1.073422441873947
barley,1,2010s,48,0.35149653358563054
barley,16,2010s,2,0.318162462050226
barley,0,2010s,2398,0.12164700066911134
barley,2,2010s,2,0.055927111922757
barley,3,2010s,2,-0.42263245099559904
barley,24,2010s,54,-0.4396347267279083
barley,27,2010s,1,-0.7880678640746965
barley,29,2010s,4,-2.2567798911475965
barley,4,2010s,5,-2.577758479250068
barley,21,2010s,1,-2.7735233162797543
barley,10,2010s,2,-3.101062834192051
barley,6,2010s,0,-4.0
barley,7,2010s,0,-4.0
barley,8,2010s,0,-4.0
barley,9,2010s,0,-4.0
barley,11,2010s,0,-4.0
barley,12,2010s,0,-4.0
barley,15,2010s,0,-4.0
barley,18,2010s,0,-4.0
barley,19,2010s,0,-4.0
barley,20,2010s,0,-4.0
barley,22,2010s,0,-4.0
barley,23,2010s,0,-4.0
barley,25,2010s,0,-4.0
barley,26,2010s,0,-4.0
barley,28,2010s,0,-4.0
barley,23,2020s,2,2.2546712479312183
barley,14,2020s,139,1.6667463333542007
barley,7,2020s,4,0.9995302442550583
barley,1,2020s,16,0.3392186388192758
barley,27,2020s,1,0.2040451748612504
barley,26,2020s,6,0.15113364382280733
barley,0,2020s,1351,0.14176037797078095
barley,24,2020s,11,-0.29978471607157825
barley,2,2020s,1,-0.8000945554996738
barley,10,2020s,1,-3.007647357817989
barley,3,2020s,0,-4.0
barley,4,2020s,0,-4.0
barley,5,2020s,0,-4.0
barley,6,2020s,0,-4.0
barley,8,2020s,0,-4.0
barley,9,2020s,0,-4.0
barley,11,2020s,0,-4.0
barley,12,2020s,0,-4.0
barley,13,2020s,0,-4.0
barley,16,2020s,0,-4.0
barley,17,2020s,0,-4.0
barley,18,2020s,0,-4.0
barley,19,2020s,0,-4.0
barley,20,2020s,0,-4.0
barley,21,2020s,0,-4.0
barley,25,2020s,0,-4.0
barley,28,2020s,0,-4.0
barley,29,2020s,0,-4.0
cotton,1,1990s,147,1.055148868852074
cotton,6,1990s,32,0.7372242568865983
cotton,14,1990s,1,0.10857190581823564
cotton,10,1990s,8,0.08822326042643301
cotton,0,1990s,479,-0.0018837876264110765
cotton,28,1990s,1,-0.3064655934606085
cotton,3,1990s,7,-1.1887910434725948
cotton,24,1990s,3,-2.56528142304693
cotton,4,1990s,2,-2.9999525509599336
cotton,2,1990s,1,-3.1312797246529813
cotton,5,1990s,0,-4.0
cotton,7,1990s,0,-4.0
cotton,8,1990s,0,-4.0
cotton,11,1990s,0,-4.0
cotton,12,1990s,0,-4.0
cotton,15,1990s,0,-4.0
cotton,16,1990s,0,-4.0
cotton,17,1990s,0,-4.0
cotton,19,1990s,0,-4.0
cotton,20,1990s,0,-4.0
cotton,21,1990s,0,-4.0
cotton,22,1990s,0,-4.0
cotton,25,1990s,0,-4.0
cotton,26,1990s,0,-4.0
cotton,27,1990s,0,-4.0
cotton,29,1990s,0,-4.0
cotton,1,2000s,193,1.2875450724858504
cotton,27,2000s,18,1.1318600808200712
cotton,16,2000s,6,0.8518435148039304
cotton,7,2000s,1,0.44643043441348695
cotton,20,2000s,90,0.19373334134896392
cotton,24,2000s,79,0.009881776117290601
cotton,0,2000s,1648,-0.05034567808843719
cotton,3,2000s,7,-0.5683919052920364
cotton,4,2000s,14,-0.5957798937204831
cotton,14,2000s,6,-0.7846268480500886
cotton,6,2000s,6,-0.9955137574949693
cotton,10,2000s,5,-1.60647146674907
cotton,21,2000s,1,-2.9582494893829927
cotton,29,2000s,2,-3.777513105275679
cotton,2,2000s,0,-4.0
cotton,5,2000s,0,-4.0
cotton,8,2000s,0,-4.0
cotton,9,2000s,0,-4.0
cotton,11,2000s,0,-4.0
cotton,12,2000s,0,-4.0
cotton,15,2000s,0,-4.0
cotton,17,2000s,0,-4.0
cotton,19,2000s,0,-4.0
cotton,22,2000s,0,-4.0
cotton,23,2000s,0,-4.0
cotton,25,2000s,0,-4.0
cotton,26,2000s,0,-4.0
cotton,28,2000s,0,-4.0
cotton,28,2010s,2,3.4282698784450125
cotton,7,2010s,5,1.3008905719687849
cotton,1,2010s,98,0.9581713347558595
cotton,16,2010s,3,0.48005242054755887
cotton,3,2010s,4,0.1542950067805777
cotton,24,2010s,108,0.13729273104826842
cotton,0,2010s,3229,0.1278302406450452
cotton,12,2010s,1,-0.6526501169385548
cotton,4,2010s,18,-1.152834114918941
cotton,27,2010s,1,-1.2111404062985198
cotton,14,2010s,28,-1.336711044642378
cotton,21,2010s,3,-1.6116333577824216
cotton,10,2010s,7,-1.7167804543582705
cotton,29,2010s,6,-2.0948899326502635
cotton,6,2010s,1,-2.6178047245523586
cotton,20,2010s,27,-3.152361811066572
cotton,2,2010s,0,-4.0
cotton,5,2010s,0,-4.0
cotton,8,2010s,0,-4.0
cotton,9,2010s,0,-4.0
cotton,11,2010s,0,-4.0
cotton,15,2010s,0,-4.0
cotton,17,2010s,0,-4.0
cotton,18,2010s,0,-4.0
cotton,19,2010s,0,-4.0
cotton,22,2010s,0,-4.0
cotton,23,2010s,0,-4.0
cotton,25,2010s,0,-4.0
cotton,26,2010s,0,-4.0
cotton,26,2020s,30,2.1080870799115683
cotton,1,2020s,28,0.7815989020782782
cotton,6,2020s,6,0.551826950376233
cotton,21,2020s,5,0.3139232598661211
cotton,0,2020s,1829,0.2138131195952112
cotton,27,2020s,1,-0.16092948393735143
cotton,14,2020s,34,-0.7297065569175689
cotton,10,2020s,5,-1.0506939217292282
cotton,7,2020s,1,-1.3654444145435434
cotton,24,2020s,3,-2.539228492786321
cotton,4,2020s,29,-2.6756884854202134
cotton,2,2020s,0,-4.0
cotton,3,2020s,0,-4.0
cotton,5,2020s,0,-4.0
cotton,8,2020s,0,-4.0
cotton,9,2020s,0,-4.0
cotton,11,2020s,0,-4.0
cotton,12,2020s,0,-4.0
cotton,13,2020s,0,-4.0
cotton,16,2020s,0,-4.0
cotton,17,2020s,0,-4.0
cotton,18,2020s,0,-4.0
cotton,19,2020s,0,-4.0
cotton,20,2020s,2,-4.0
cotton,23,2020s,0,-4.0
cotton,25,2020s,0,-4.0
cotton,28,2020s,0,-4.0
cotton,29,2020s,0,-4.0
maize,25,1990s,2,0.9688115874302372
maize,14,1990s,9,0.9016973915717
maize,1,1990s,533,0.5366687310860376
maize,0,1990s,2775,0.15570690707339158
maize,26,1990s,1,-0.031188412569762736
maize,22,1990s,2,-0.24620130354061337
maize,3,1990s,67,-0.3068562907612742
maize,28,1990s,5,-0.3613370142620935
maize,10,1990s,25,-0.6447200654876901
maize,6,1990s,47,-1.0849864071246118
maize,2,1990s,21,-1.1157618175630686
maize,29,1990s,12,-1.2144102366255332
maize,4,1990s,18,-2.2068270652064688
maize,24,1990s,16,-2.527043439456934
maize,21,1990s,4,-2.8820449732639535
maize,5,1990s,0,-4.0
maize,7,1990s,0,-4.0
maize,8,1990s,0,-4.0
maize,11,1990s,0,-4.0
maize,12,1990s,0,-4.0
maize,15,1990s,0,-4.0
maize,16,1990s,0,-4.0
maize,17,1990s,0,-4.0
maize,19,1990s,0,-4.0
maize,20,1990s,0,-4.0
maize,27,1990s,0,-4.0
maize,17,2000s,10,1.5405989920179644
maize,27,2000s,51,0.7730284391205918
maize,9,2000s,1,0.31628169375702425
maize,1,2000s,334,0.21746034546315962
maize,28,2000s,1,0.15278296147414502
maize,0,2000s,6883,0.15064360711438593
maize,25,2000s,2,0.07749483416990775
maize,14,2000s,23,-0.7073593749428944
maize,2,2000s,12,-0.8014133489127303
maize,6,2000s,21,-1.0494908176660278
maize,15,2000s,3,-1.0987558055218194
maize,26,2000s,1,-1.1691451334132172
maize,16,2000s,5,-1.2725228732585259
maize,24,2000s,116,-1.2972499591609026
maize,10,2000s,22,-1.3302999252277976
maize,7,2000s,1,-1.4149015478151756
maize,3,2000s,14,-1.429723887520699
maize,4,2000s,26,-1.5640270798656577
maize,5,2000s,4,-1.5944509681458883
maize,21,2000s,8,-1.819581471611655
maize,8,2000s,0,-4.0
maize,11,2000s,0,-4.0
maize,12,2000s,0,-4.0
maize,19,2000s,0,-4.0
maize,20,2000s,0,-4.0
maize,22,2000s,0,-4.0
maize,23,2000s,0,-4.0
maize,29,2000s,5,-4.0
maize,6,2010s,34,0.40872873513663976
maize,28,2010s,1,0.3673404968836716
maize,22,2010s,1,0.3128927128612952
maize,7,2010s,10,0.23996119040744404
maize,0,2010s,13953,0.1783168587154911
maize,1,2010s,230,0.12802216002368536
maize,17,2010s,5,-0.3450013103137122
maize,25,2010s,3,-0.3472572842540799
maize,14,2010s,187,-0.6581008883736864
